Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2026-01-15 18:30:00 +0000,Barbell Bench Press, 5,60.0,0.0,0.0,0.0,0.0,true,, 1.0
2026-01-15 18:30:00 +0000,Barbell Bench Press, 8,80.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-15 18:30:00 +0000,Barbell Bench Press, 8,80.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-15 18:30:00 +0000,Barbell Bench Press, 6,82.5,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-15 18:30:00 +0000,Pull Up, 8,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-15 18:30:00 +0000,Pull Up, 6,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-17 19:00:00 +0000,Back Squat, 5,100.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-17 19:00:00 +0000,Back Squat, 5,100.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-17 19:00:00 +0000,Back Squat, 5,102.5,0.0,0.0,0.0,0.0,false,, 1.0
2026-01-17 19:00:00 +0000,Running, 0,0.0,1200.0,3000.0,0.0,0.0,false,, 1.0
2026-01-20 17:45:00 +0000,Unmatched Exercise Name, 10,40.0,0.0,0.0,0.0,0.0,false,, 1.0
